date,symbol,value
2024-01-01,STK000,0.30471707975443135
2024-01-01,STK001,-1.0399841062404955
2024-01-01,STK002,0.7504511958064572
2024-01-01,STK003,0.9405647163912139
2024-01-01,STK004,-1.9510351886538364
2024-01-01,STK005,-1.302179506862318
2024-01-01,STK006,0.12784040316728537
2024-01-01,STK007,-0.3162425923435822
2024-01-01,STK008,-0.016801157504288795
2024-01-01,STK010,0.8793979748628286
2024-01-01,STK011,0.7777919354289483
2024-01-01,STK012,0.06603069756121605
2024-01-01,STK013,1.1272412069680329
2024-01-01,STK014,0.4675093422520456
2024-01-01,STK015,-0.8592924628832382
2024-01-01,STK016,0.36875078408249884
2024-01-01,STK017,-0.9588826008289989
2024-01-01,STK019,-0.049925910986252896
2024-01-01,STK020,-0.18486236354526056
2024-01-01,STK021,-0.6809295444039414
2024-01-01,STK022,1.2225413386740303
2024-01-01,STK024,-0.4283278221631072
2024-01-01,STK025,-0.3521335504882296
2024-01-01,STK026,0.5323091855533487
2024-01-01,STK027,0.36544406436407834
2024-01-01,STK028,0.4127326115959884
2024-01-01,STK029,0.43082100300788273
2024-01-01,STK030,2.1416476008704612
2024-01-01,STK031,-0.4064150163846156
2024-01-01,STK032,-0.5122427290715373
2024-01-01,STK033,-0.8137727282478777
2024-01-01,STK034,0.6159794225754956
2024-01-01,STK035,1.1289722927208916
2024-01-01,STK036,-0.11394745765487507
2024-01-01,STK037,-0.840156476962528
2024-01-01,STK038,-0.8244812156912396
2024-01-01,STK039,0.6505927878247011
2024-01-01,STK040,0.7432541712034423
2024-01-01,STK041,0.543154268305195
2024-01-01,STK042,-0.6655097072886943
2024-01-01,STK043,0.23216132306671977
2024-01-01,STK044,0.11668580914072822
2024-01-01,STK045,0.21868859672901295
2024-01-01,STK046,0.8714287779481898
2024-01-01,STK047,0.22359554877468227
2024-01-01,STK049,0.06757906948889146
2024-01-01,STK050,0.28911939868998415
2024-01-01,STK051,0.6312882258385404
2024-01-01,STK052,-1.4571558198556664
2024-01-01,STK053,-0.31967121635730134
2024-01-01,STK054,-0.4703726542927955
2024-01-01,STK056,-0.27514225122668373
2024-01-01,STK057,1.4949413112343959
2024-01-01,STK058,-0.8658311156932432
2024-01-02,STK000,-1.6828697716158048
2024-01-02,STK001,-0.33488502998577485
2024-01-02,STK002,0.1627530651050056
2024-01-02,STK005,0.7933472351999252
2024-01-02,STK006,-0.3487250722484376
2024-01-02,STK007,-0.46235179266456716
2024-01-02,STK008,0.8579758812571538
2024-01-02,STK009,-0.1913043248816149
2024-01-02,STK010,-1.2756863233379219
2024-01-02,STK011,-1.1332872140034806
2024-01-02,STK012,-0.9194522860016113
2024-01-02,STK013,0.49716074405376404
2024-01-02,STK014,0.14242573607056525
2024-01-02,STK015,0.6904853540677682
2024-01-02,STK016,-0.42725264633653426
2024-01-02,STK017,0.15853969107671423
2024-01-02,STK018,0.6255903939673367
2024-01-02,STK019,-0.3093465397202384
2024-01-02,STK020,0.45677523755741145
2024-01-02,STK021,-0.6619259410666513
2024-01-02,STK022,-0.3630538465650718
2024-01-02,STK023,-0.3817378939983291
2024-01-02,STK024,-1.1958396455890397
2024-01-02,STK025,0.4869724807855818
2024-01-02,STK026,-0.46940234020272387
2024-01-02,STK027,0.01249411872768743
2024-01-02,STK030,0.6653851089727862
2024-01-02,STK031,-0.09848548450942361
2024-01-02,STK033,-0.07971821090639905
2024-01-02,STK034,-1.6873344339580298
2024-01-02,STK035,-1.4471124724230873
2024-01-02,STK036,-1.3226996123544024
2024-01-02,STK037,-0.9972468276014818
2024-01-02,STK038,0.3997742267234366
2024-01-02,STK039,-0.9054790553600608
2024-01-02,STK040,-0.3781625540393897
2024-01-02,STK041,1.2992282977860654
2024-01-02,STK042,-0.35626397106142593
2024-01-02,STK043,0.7375155684670865
2024-01-02,STK044,-0.933617680009877
2024-01-02,STK045,-0.20543755786763002
2024-01-02,STK046,-0.9500220549105812
2024-01-02,STK047,-0.3390330759005625
2024-01-02,STK048,0.8403081374573955
2024-01-02,STK049,-1.7273204231923487
2024-01-02,STK051,0.2377356023322779
2024-01-02,STK052,-0.5941499556967944
2024-01-02,STK053,-1.4460578543884546
2024-01-02,STK054,0.07212950771386951
2024-01-02,STK056,0.23267621135470395
2024-01-02,STK057,0.02185214552344288
2024-01-02,STK058,1.6017788913209154
2024-01-02,STK059,-0.23935562747302427
2024-01-03,STK000,-1.023497492621865
2024-01-03,STK001,0.17927563495631615
2024-01-03,STK002,0.21999668397176517
2024-01-03,STK003,1.3591875752404365
2024-01-03,STK005,0.35687105914950934
2024-01-03,STK006,1.4633028912195618
2024-01-03,STK007,-1.188763054322851
2024-01-03,STK008,-0.6397515327497477
2024-01-03,STK009,-0.9265759414055249
2024-01-03,STK011,-1.3766861475563088
2024-01-03,STK012,0.6351509468144043
2024-01-03,STK015,-1.0155790812075416
2024-01-03,STK016,0.3135138474501953
2024-01-03,STK017,0.8381265678943811
2024-01-03,STK018,1.9967308916917865
2024-01-03,STK019,2.9138624660073296
2024-01-03,STK020,0.4144094332759964
2024-01-03,STK021,-0.9895381200318641
2024-01-03,STK022,-2.132046280731309
2024-01-03,STK023,0.2677114623438358
2024-01-03,STK024,-0.812941095310326
2024-01-03,STK026,-0.6120967990598081
2024-01-03,STK027,-0.14079088641638526
2024-01-03,STK029,0.15704856744534462
2024-01-03,STK030,-0.1586348370386883
2024-01-03,STK031,-1.0356537528258116
2024-01-03,STK032,-1.674682944704357
2024-01-03,STK033,-0.4863079090733309
2024-01-03,STK034,-0.05378255081832049
2024-01-03,STK036,0.13027452147288585
2024-01-03,STK037,0.9827395110230576
2024-01-03,STK038,-0.49929559853915206
2024-01-03,STK039,-1.1849437664170246
2024-01-03,STK040,-0.9651167622323719
2024-01-03,STK042,2.1284697324351645
2024-01-03,STK044,0.838489203736345
2024-01-03,STK045,-0.9029271780870264
2024-01-03,STK046,0.9315730128742441
2024-01-03,STK047,0.38495096610586316
2024-01-03,STK049,-0.040762526135434025
2024-01-03,STK050,-0.6547876954293904
2024-01-03,STK051,0.44607220148208054
2024-01-03,STK052,-0.45498348034078
2024-01-03,STK053,-1.2256057637672482
2024-01-03,STK054,-1.2779375743196193
2024-01-03,STK055,0.17258791772211948
2024-01-03,STK056,1.579091256410435
2024-01-03,STK058,-0.11863832610988256
2024-01-03,STK059,0.2858261396025429
2024-01-04,STK000,1.3060017417068248
2024-01-04,STK001,0.21938250136385634
2024-01-04,STK002,-0.41092723083373717
2024-01-04,STK003,1.1062887100598888
2024-01-04,STK004,0.4287564384616135
2024-01-04,STK005,1.535755991995992
2024-01-04,STK007,-1.2244690317205003
2024-01-04,STK008,-1.368159199245665
2024-01-04,STK009,1.6509279322312496
2024-01-04,STK010,1.723665720783297
2024-01-04,STK011,-0.17951921328260065
2024-01-04,STK012,-0.38318732113598775
2024-01-04,STK014,-1.107045682043488
2024-01-04,STK015,-0.8947270189558264
2024-01-04,STK016,0.6433267946890444
2024-01-04,STK017,-0.3946051228595896
2024-01-04,STK018,-0.005121866720071296
2024-01-04,STK019,-0.16344289852451258
2024-01-04,STK020,0.33757454879893356
2024-01-04,STK021,1.4074818613137168
2024-01-04,STK022,0.09058490690174555
2024-01-04,STK023,0.6439387932768579
2024-01-04,STK024,-2.0501721010310225
2024-01-04,STK025,-0.04871840193011795
2024-01-04,STK026,-0.8432302702928711
2024-01-04,STK027,-1.218813060423628
2024-01-04,STK029,-0.33412344070081207
2024-01-04,STK030,0.9159025423560131
2024-01-04,STK031,-1.326392717739564
2024-01-04,STK032,0.030631492594417446
2024-01-04,STK033,-0.4841694333335785
2024-01-04,STK034,-0.32767309436196085
2024-01-04,STK035,1.0027578253046041
2024-01-04,STK037,1.3373981074427437
2024-01-04,STK038,-0.15450567924990047
2024-01-04,STK039,-0.695942611670703
2024-01-04,STK040,-0.22385881688049952
2024-01-04,STK041,0.2424967912712216
2024-01-04,STK042,0.17657335845371103
2024-01-04,STK043,-1.0843880722333665
2024-01-04,STK046,2.5174740375339204
2024-01-04,STK047,1.8768446112816701
2024-01-04,STK048,-0.8532433505588201
